2859,"975,980,981,985,987,990,996,1003,1006,1008,1009,1010,1025,1029,1052"
8704,"975,980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1025,1029,1052"
8794,"975,980,981,982,983,985,987,990,996,1006,1009,1010,1013,1029,1052"
9142,"975,980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1025,1029,1052"
14391,"980,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1043,1052"
18811,"980,981,982,985,987,990,996,1006,1008,1009,1010,1013,1016,1025,1029,1052"
21245,"980,982,985,987,990,996,1006,1008,1009,1010,1013,1016,1025,1029,1043,1052"
25030,"980,981,982,983,987,990,996,1006,1008,1009,1010,1013,1016,1029,1052"
25262,"975,980,981,983,984,985,987,990,996,1003,1006,1009,1010,1013,1016,1025,1029,1052"
25409,"975,980,981,982,983,985,987,990,996,1006,1008,1009,1010,1025,1029,1052"
25638,"980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1025,1029"
26556,"975,980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1025,1029"
27420,"980,982,984,985,987,990,996,1006,1008,1009,1010,1013,1016,1025,1029,1043,1052"
27969,"975,980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1052"
37512,"975,980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1043,1052"
40086,"975,980,981,983,984,985,987,990,996,1003,1006,1009,1010,1016,1025,1029,1043"
40160,"980,981,982,983,984,985,990,996,1003,1006,1008,1009,1010,1013,1025,1029,1052"
41363,"975,980,981,983,984,985,987,990,996,1006,1008,1009,1010,1013,1025,1029"
41654,"980,981,983,984,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029"
43034,"980,981,982,983,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1052"
46918,"980,981,982,983,985,987,990,996,1003,1006,1008,1009,1010,1013,1025,1029"
47399,"980,981,982,983,985,987,990,996,1003,1006,1009,1010,1013,1029,1052"
52233,"975,980,981,982,983,985,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1052"
52268,"975,980,981,982,983,984,985,987,990,996,1006,1008,1009,1010,1013,1016,1025,1029,1052"
52647,"980,981,982,983,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1043,1052"
52757,"975,980,981,982,983,985,987,990,996,1006,1008,1009,1010,1013,1025,1029,1043"
53836,"975,980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1025,1029,1052"
54565,"975,980,981,982,983,984,987,990,996,1006,1008,1009,1010,1013,1025,1029,1052"
57367,"975,980,981,982,983,987,990,996,1003,1006,1009,1010,1013,1029,1052"
57823,"980,981,982,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1043,1052"
63937,"975,980,981,982,983,984,985,987,990,996,1006,1008,1009,1010,1013,1025,1029,1052"
70906,"975,980,982,983,985,987,990,996,1006,1009,1010,1013,1016,1025,1029,1052"
79053,"980,981,982,983,984,985,987,990,996,1003,1006,1009,1010,1013,1016,1025,1029,1043,1052"
85632,"975,980,981,982,983,984,985,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1043"
100322,"980,981,982,983,984,987,990,996,1006,1008,1009,1010,1013,1025,1029,1052"
100328,"980,981,982,983,985,987,990,996,1003,1006,1008,1009,1010,1013,1025,1029"
102744,"980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1025,1029,1052"
102828,"975,980,981,982,983,985,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1043"
103569,"980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1029"
105779,"975,980,981,982,983,984,985,987,990,996,1006,1008,1009,1010,1013,1029,1052"
